,keras_cv,trial_index,arm_name,learning_rate,dropout_rate,num_hidden_layers,neurons_per_layer,batch_size,activation,optimizer,trial_status,generation_method
58,2.7152929425239565,151,151_0,0.008293799986782984,0.019874304138424278,4,196,64,relu,adam,COMPLETED,BO_MIXED
160,2.7359734773635864,64,64_0,0.0071097210663869795,0.019990652946084153,4,194,64,relu,adam,COMPLETED,BO_MIXED
11,2.748617708683014,109,109_0,0.009157948923994956,0.01977731482273328,4,191,64,relu,adam,COMPLETED,BO_MIXED
27,2.752956485748291,122,122_0,0.01001721423060648,0.01977434394115468,4,186,64,relu,adam,COMPLETED,BO_MIXED
144,2.7733858585357667,49,49_0,0.007348825253396917,0.020128199217070174,4,194,64,relu,adam,COMPLETED,BO_MIXED
54,2.7747175276279448,147,147_0,0.008943030400839647,0.019769237595091582,5,193,64,relu,adam,COMPLETED,BO_MIXED
171,2.7854227483272553,74,74_0,0.008047178951229661,0.01980921285458217,4,193,64,relu,adam,COMPLETED,BO_MIXED
122,2.786017858982086,29,29_0,0.018512021997472178,0.01663330262285428,3,195,128,relu,adam,COMPLETED,BO_MIXED
156,2.787673497200012,60,60_0,0.007051950396181512,0.020035659271502127,4,194,64,relu,adam,COMPLETED,BO_MIXED
52,2.7876805901527404,145,145_0,0.008164917774514701,0.019672632766416866,4,196,64,relu,adam,COMPLETED,BO_MIXED
150,2.7897295236587523,55,55_0,0.0071254565632004,0.020538394355331734,4,194,64,relu,adam,COMPLETED,BO_MIXED
1,2.80449298620224,100,100_0,0.009179980580786031,0.019844926596196525,4,193,64,relu,adam,COMPLETED,BO_MIXED
49,2.831223726272583,142,142_0,0.006766115978363495,0.019677221997392146,4,200,64,relu,adam,COMPLETED,BO_MIXED
99,2.839070987701416,188,188_0,0.009663583832994045,0.019633895163874947,4,190,64,relu,adam,COMPLETED,BO_MIXED
17,2.9218713879585265,114,114_0,0.00959045511915235,0.019744002255750587,4,191,64,relu,adam,COMPLETED,BO_MIXED
161,2.9339768528938293,65,65_0,0.006701235544203368,0.019935164228372052,4,194,64,relu,adam,COMPLETED,BO_MIXED
91,2.9422415018081667,181,181_0,0.008414304887380505,0.019924678851219946,4,196,64,relu,adam,COMPLETED,BO_MIXED
117,2.961449217796326,24,24_0,0.03159927288366246,0.020596120655252577,3,200,256,relu,adam,COMPLETED,BO_MIXED
98,2.9666335225105285,187,187_0,0.008978096428103337,0.019685703668052983,4,189,64,relu,adam,COMPLETED,BO_MIXED
141,2.9878010988235473,46,46_0,0.008686470135500342,0.020008598687970284,4,200,128,relu,adam,COMPLETED,BO_MIXED
83,3.0341264247894286,173,173_0,0.009874027369024084,0.019860906422451828,4,195,64,relu,adam,COMPLETED,BO_MIXED
90,3.0347209215164184,180,180_0,0.007626646367941515,0.019697027891310625,4,199,64,relu,adam,COMPLETED,BO_MIXED
47,3.0357824981212618,141,141_0,0.008134221378325195,0.019699534380387292,4,187,64,relu,adam,COMPLETED,BO_MIXED
120,3.037224543094635,27,27_0,0.020075726550790988,0.020242991901339467,4,196,256,relu,adam,COMPLETED,BO_MIXED
194,3.040620410442352,95,95_0,0.009071124493060006,0.019937654896602652,4,193,64,relu,adam,COMPLETED,BO_MIXED
60,3.0985550403594972,152,152_0,0.009288749425615783,0.019762790736265728,4,188,64,relu,adam,COMPLETED,BO_MIXED
185,3.1009873151779175,87,87_0,0.009608231852233563,0.01966542438838814,4,197,64,relu,adam,COMPLETED,BO_MIXED
191,3.11259149312973,92,92_0,0.008646594364076898,0.019702398799326126,4,196,64,relu,adam,COMPLETED,BO_MIXED
136,3.1395249128341676,42,42_0,0.004169595869662272,0.019862525173835584,4,188,128,relu,adam,COMPLETED,BO_MIXED
195,3.166778564453125,96,96_0,0.00886551174996882,0.020025061580094,4,194,64,relu,adam,COMPLETED,BO_MIXED
85,3.188303089141846,175,175_0,0.008558351323067937,0.01981152427383116,4,198,64,relu,adam,COMPLETED,BO_MIXED
36,3.221836817264557,131,131_0,0.008116301201742733,0.019735011747937237,4,195,64,relu,adam,COMPLETED,BO_MIXED
196,3.270968329906464,97,97_0,0.008540135251885805,0.019853636574001042,4,199,64,relu,adam,COMPLETED,BO_MIXED
184,3.3199416518211367,86,86_0,0.00939549028095625,0.01959220756287537,4,200,64,relu,adam,COMPLETED,BO_MIXED
101,3.3330507397651674,190,190_0,0.00871905504344563,0.019943657701377304,4,186,64,relu,adam,COMPLETED,BO_MIXED
43,3.3781963706016542,137,137_0,0.006999467625304675,0.01975026944041,4,195,64,relu,adam,COMPLETED,BO_MIXED
95,3.392730140686035,184,184_0,0.009749847242800664,0.019728114932110345,4,195,64,relu,adam,COMPLETED,BO_MIXED
56,3.398098349571228,149,149_0,0.00983244818653515,0.019669781541070457,4,195,64,relu,adam,COMPLETED,BO_MIXED
20,3.408508634567261,117,117_0,0.010407062786942292,0.019754503446259043,4,188,64,relu,adam,COMPLETED,BO_MIXED
18,3.4255279183387755,115,115_0,0.008373819654470363,0.01981680723912792,4,196,64,relu,adam,COMPLETED,BO_MIXED
193,3.442170560359955,94,94_0,0.0075335761041561925,0.019943833176396128,4,200,64,relu,adam,COMPLETED,BO_MIXED
28,3.456707942485809,123,123_0,0.007286697059088456,0.02002482939777065,4,196,64,relu,adam,COMPLETED,BO_MIXED
8,3.632976973056793,106,106_0,0.008408539087595,0.019708262240145574,4,196,64,relu,adam,COMPLETED,BO_MIXED
33,3.635162854194641,128,128_0,0.007544043710856651,0.01982920007920995,4,197,64,relu,adam,COMPLETED,BO_MIXED
118,3.659936046600342,25,25_0,0.012232506437824862,0.01567981688347945,4,200,256,relu,adam,COMPLETED,BO_MIXED
24,3.664159631729126,120,120_0,0.008363325473619305,0.019689864733383893,4,196,64,relu,adam,COMPLETED,BO_MIXED
