ID,Substrate,Ceramic,Thickness,Lsub,asub,bsub,Lcer,acer,bcer,L,a,b
505,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,37.78,-0.59,-3.15
17,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.81,-0.46,-4.52
6,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.83,-0.47,-5.82
15,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.83,-0.46,-4.54
4,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.87,-0.49,-5.87
13,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.87,-0.45,-4.51
1443,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.89,-0.59,-3.96
1445,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.9,-0.61,-3.93
501,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,37.92,-0.7,-3.9
1459,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.92,-0.48,-4.29
2,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.93,-0.48,-5.95
499,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,37.93,-0.67,-3.92
1463,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.93,-0.47,-4.31
5,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.94,-0.48,-5.92
1450,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.94,-0.58,-3.9
3,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,37.98,-0.48,-5.97
1441,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,37.99,-0.58,-3.92
1,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,38.03,-0.49,-6.03
503,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.05,-0.65,-3.86
1458,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.17,-0.66,-3.93
1456,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.2,-0.66,-3.96
1454,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.22,-0.67,-3.96
1451,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.29,-0.61,-3.93
1447,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.3,-0.62,-3.9
1449,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.3,-0.63,-3.92
485,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.47,-0.65,-4.77
483,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.49,-0.63,-4.78
481,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.5,-0.63,-4.81
497,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.53,-0.6,-4.42
495,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.54,-0.6,-4.44
493,Black,Empress HT A3,0.3,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,38.56,-0.61,-4.43
1457,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.82,-0.65,-3.87
1455,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.84,-0.64,-3.9
1453,Black,Empress LT A3,0.3,22.06166667,8.801676766,0.335,64.305,2.135,14.82,38.86,-0.65,-3.89
30,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.13,-0.5,-5.42
28,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.15,-0.5,-5.46
26,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.22,-0.47,-5.53
29,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.74,-0.47,-5.37
27,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.77,-0.45,-5.42
25,Black,Empress HT A1,0.3,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,39.85,-0.46,-5.47
970,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,41.72,-0.82,-5.13
968,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,41.73,-0.81,-5.14
972,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,41.73,-0.82,-5.09
978,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.19,-0.84,-4.9
976,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.2,-0.86,-4.93
974,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.23,-0.83,-4.95
971,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.24,-0.8,-5.08
969,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.25,-0.8,-5.09
967,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.26,-0.8,-5.11
1482,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.34,-0.93,-1.43
1478,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.37,-0.91,-1.43
1480,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.37,-0.93,-1.42
1500,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.38,-0.95,-1.78
1498,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.43,-0.93,-1.77
977,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.46,-0.84,-4.94
975,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.48,-0.84,-4.96
973,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.5,-0.85,-5
1496,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.51,-0.91,-1.79
522,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.56,-0.88,-3.3
520,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.57,-0.88,-3.3
984,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.57,-0.74,-4.37
1488,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.58,-0.95,-1.66
518,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.59,-0.9,-3.29
980,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.59,-0.72,-4.41
982,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.59,-0.71,-4.38
1486,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.59,-0.94,-1.67
42,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,42.6,-0.88,-5.11
1484,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.61,-0.93,-1.67
40,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,42.66,-0.87,-5.13
981,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.68,-0.73,-4.45
983,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.68,-0.72,-4.45
979,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,42.71,-0.73,-4.48
1494,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.71,-0.97,-1.9
1492,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.75,-0.97,-1.89
38,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,42.77,-0.85,-5.16
1479,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.8,-0.87,-1.42
1490,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.81,-0.94,-1.92
1477,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.82,-0.89,-1.42
540,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.84,-0.9,-2.76
519,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.87,-0.86,-3.34
521,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.87,-0.87,-3.33
517,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,42.88,-0.87,-3.33
1481,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,42.98,-0.8,-1.37
41,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43,-0.86,-5.11
39,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.04,-0.85,-5.15
1476,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.05,-1,-2.06
536,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.06,-0.83,-2.66
538,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.06,-0.83,-2.69
1472,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.06,-1,-2.09
1474,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.06,-0.99,-2.08
1487,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.06,-0.9,-1.64
1485,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.07,-0.89,-1.63
37,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.1,-0.86,-5.19
1483,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.1,-0.91,-1.63
535,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.18,-0.82,-2.72
537,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.18,-0.82,-2.73
539,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.19,-0.84,-2.73
534,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.24,-0.85,-3.05
530,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.26,-0.85,-3.05
532,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.26,-0.86,-3.02
990,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.26,-0.76,-4.01
986,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.27,-0.75,-4.01
988,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.27,-0.76,-4.01
985,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.36,-0.76,-4.1
987,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.36,-0.75,-4.08
989,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.36,-0.76,-4.07
1475,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.36,-0.97,-2.08
1473,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.37,-0.96,-2.1
1471,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.39,-0.97,-2.1
529,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.4,-0.85,-3.1
531,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.4,-0.83,-3.09
533,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,43.4,-0.85,-3.07
1499,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.44,-0.88,-1.74
1497,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.48,-0.86,-1.74
54,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.5,-0.85,-5.64
52,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.53,-0.86,-5.67
1495,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.56,-0.88,-1.72
50,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.58,-0.85,-5.69
1493,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.65,-0.93,-1.91
1491,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.67,-0.92,-1.92
1489,Black,Empress LT A3,0.5,22.06166667,8.801676766,0.335,64.305,2.135,14.82,43.72,-0.92,-1.92
48,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.75,-0.93,-6.28
966,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.79,-0.8,-4.59
964,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.8,-0.81,-4.61
962,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.81,-0.79,-4.63
46,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,43.88,-0.95,-6.35
965,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.92,-0.79,-4.66
963,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.94,-0.81,-4.67
961,Black,Empress LT A1,0.3,22.06166667,8.801676766,0.335,71.29166667,0.996666667,10.87166667,43.96,-0.81,-4.69
44,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.04,-0.96,-6.41
53,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.12,-0.8,-5.52
51,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.16,-0.81,-5.55
49,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.22,-0.8,-5.57
47,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.28,-0.93,-6.27
512,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.32,-0.95,-3.39
514,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.36,-0.96,-3.4
516,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.38,-0.97,-3.42
45,Black,Empress HT A1,0.5,22.06166667,8.801676766,0.335,64.40833333,-0.453333333,6.843333333,44.4,-0.92,-6.33
524,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.41,-0.89,-3.43
526,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.41,-0.87,-3.45
528,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.42,-0.88,-3.42
511,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.46,-0.94,-3.44
513,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.49,-0.95,-3.44
515,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.53,-0.95,-3.45
523,Black,Empress HT A3,0.5,22.06166667,8.801676766,0.335,61.71,1.511666667,13.41833333,44.6,-0.87,-3.46
